N,seed,candidate_index,angles_sha256_float64,OT_cost,R_N,lambda_R,weighted_R_N,J_N,objective_grid_points,objective_time_steps,sinkhorn_n_iter,sinkhorn_err_l1,rank_J,rank_R,rank_OT,selected_J,selected_R,selected_OT
30,0,28,4beaf21997e5e6ca68cbea7ee8fca0adb589901b7dec6fc73e269bbf3be132f7,0.011653679205495036,0.5103815969266288,0.001,0.0005103815969266288,0.012164060802421665,579,721,30,9.102902653879141e-09,4.0,1.0,33.0,False,True,False
30,0,29,153215af3b50f3e377c660e458032879961ec50bb6db3588605db3c0d12782a7,0.01165310903240198,0.5550994210765595,0.001,0.0005550994210765596,0.01220820845347854,579,721,30,9.894341235217041e-09,33.0,34.0,30.0,False,False,False
30,0,30,4094c4d002b3d5f93dfe222bced8728ef0e9936a96701ac553d1726fa8412110,0.011649543959277678,0.5427746153035337,0.001,0.0005427746153035337,0.012192318574581211,579,721,31,5.173425576820989e-09,20.0,24.0,18.0,False,False,False
30,0,31,8595278e24b6e257659f94ed50c11db93026abeda338ae68d3d378f8cd2565ae,0.011645827625237005,0.598530103015284,0.001,0.000598530103015284,0.01224435772825229,579,721,30,9.954088109331849e-09,55.0,60.0,3.0,False,False,False
30,0,32,2d01c9aac22f7a6ace2385cacf6274b5e0631190a3a5e6d0ada9a374242dbb54,0.011648917533325526,0.5119764421584068,0.001,0.0005119764421584068,0.012160893975483932,579,721,31,5.131081115550273e-09,2.0,3.0,14.0,False,False,False
30,0,33,cc73806efd0bccdfc8c77e313a78362a934b79d010b25b0c241b6a84b4c24109,0.01164938373573112,0.5583674483900664,0.001,0.0005583674483900663,0.012207751184121186,579,721,31,5.091913113375313e-09,32.0,35.0,17.0,False,False,False
30,0,34,4547ca85a1c044cd0b4dc6f23b4b692deccf8f5f45238e0880eca1a63ca170e6,0.01165600501707908,0.5688184843199977,0.001,0.0005688184843199977,0.012224823501399078,579,721,30,9.989705729296361e-09,45.0,45.0,42.0,False,False,False
30,0,35,8f2ab4a735efcf750a96a95ffa7b51305177cb2853c0b4f3d8a4d9898fca9b54,0.011657805726979846,0.525442311783223,0.001,0.000525442311783223,0.01218324803876307,579,721,30,9.075704521244177e-09,14.0,12.0,47.0,False,False,False
30,0,36,8e1a6a959463159878a8a3dbf78e06da93aec630bddcca7a87c44ac4b83a31d0,0.011646636937368709,0.5358445789892455,0.001,0.0005358445789892455,0.012182481516357955,579,721,30,9.751620067000033e-09,12.0,17.0,7.0,False,False,False
30,0,37,6b946336fece2c697ab947f090512217861c07e688515c5bed10a9d6246d791a,0.011662231696734795,0.5447981568302422,0.001,0.0005447981568302422,0.012207029853565038,579,721,30,9.870473327566742e-09,31.0,25.0,57.0,False,False,False
30,0,38,f7ca653bd6f4b6999efbdee47062ffb0b8c942d6a0947ce0e76e20ccd6ae206d,0.01165476664528749,0.5222373621581634,0.001,0.0005222373621581634,0.012177004007445653,579,721,31,5.21607235182131e-09,8.0,8.0,37.0,False,False,False
30,0,39,27f4236d42da25d9a7c179a8bc361451480ed9164221685b71cb51951b72f80a,0.011655262156146642,0.5661291334533015,0.001,0.0005661291334533015,0.012221391289599943,579,721,31,4.891446026000779e-09,43.0,43.0,41.0,False,False,False
30,0,40,256999849d7f4090e94b1802ba9e6b8d65d5b44196da7507ae539dba8a50ce38,0.011654471539986071,0.524664714585989,0.001,0.000524664714585989,0.01217913625457206,579,721,30,9.74418179477965e-09,10.0,10.0,35.0,False,False,False
30,0,41,ec14eaedad3034afdb29b4f09c862562a829d37ca1338e47a02e491ff4f10e70,0.011658170581881887,0.56213394443796,0.001,0.0005621339444379601,0.012220304526319847,579,721,31,5.451282536483859e-09,42.0,37.0,49.0,False,False,False
30,0,42,f22cd23eca00bf65dc6144a4f84a96837ccf24d0c258d13b70e2fe3ecf4212e0,0.011651560823785477,0.5423568934048097,0.001,0.0005423568934048098,0.012193917717190287,579,721,30,9.673500223073006e-09,22.0,23.0,24.0,False,False,False
30,0,43,6d40c5496cc21a66aee713049a5a458d2b9fa89327dbdf45e7d23c29f5e6613a,0.0116584388458532,0.5530086960806149,0.001,0.0005530086960806149,0.012211447541933816,579,721,31,4.9387113287835405e-09,36.0,30.0,51.0,False,False,False
30,0,44,abfbca68f6dbe90491491fced1c608a1b03eac5acb1f1942836c574ca3f05c7d,0.01165188970250521,0.5448628402286255,0.001,0.0005448628402286255,0.012196752542733835,579,721,30,9.899287500836351e-09,23.0,26.0,25.0,False,False,False
30,0,45,c5e58fcd219b5533afdb96ea14059309f0b533d5a872d24832033ba5be528300,0.011658528769694686,0.574008796417443,0.001,0.0005740087964174429,0.01223253756611213,579,721,31,5.211259201942653e-09,52.0,47.0,52.0,False,False,False
